id,component,type,submission_date,contact,source,reference,extraction_method,peak_identificaton,interpolation_method,extra_preprocessing,complete_sample_name,sample_source,sample_composition,sample_preparation,sample_substrate,raman_technique,raman_system,delivery_optics,laser_wavelength,laser_power,acquisition_time,orig_spectral_range,orig_spectral_resolution,orig_spatial_resolution,detector,calibration,cropping,spike_removal,denoising,background_removal,baseline_removal,normalization,additional_info
97,lactalbumin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,α-lactalbumin,From their collaborators,Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
98,lactalbumin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,α-lactalbumin,From their collaborators,Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
99,albumin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,albumin human,"Sigma-Aldrich, A9731",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
100,albumin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,albumin human,"Sigma-Aldrich, A9731",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
101,albumin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,albumin human,"Sigma-Aldrich, A9731",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
102,carbonic anhydrase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,carbonic anhydrase,"Sigma-Aldrich, C7025",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
103,carbonic anhydrase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,carbonic anhydrase,"Sigma-Aldrich, C7025",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
104,carbonic anhydrase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,carbonic anhydrase,"Sigma-Aldrich, C7025",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
105,collagen,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,collagen from rat tail,"Sigma-Aldrich, C8897",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
106,collagen,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,collagen from rat tail,"Sigma-Aldrich, C8897",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
107,collagen,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,collagen from rat tail,"Sigma-Aldrich, C8897",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
108,α-chymotrypsinogen a (type ii),Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,α-chymotrypsinogen a (type ii),"Sigma-Aldrich, C4879",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
109,α-chymotrypsinogen a (type ii),Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,α-chymotrypsinogen a (type ii),"Sigma-Aldrich, C4879",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
110,α-chymotrypsinogen a (type ii),Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,α-chymotrypsinogen a (type ii),"Sigma-Aldrich, C4879",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
111,elastase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,elastase,"Sigma-Aldrich, E7885",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
112,elastase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,elastase,"Sigma-Aldrich, E7885",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
113,elastase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,elastase,"Sigma-Aldrich, E7885",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
114,ferritin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,ferritin,"Sigma-Aldrich, F4503",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
115,ferritin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,ferritin,"Sigma-Aldrich, F4503",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
116,ferritin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,ferritin,"Sigma-Aldrich, F4503",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
117,glutathione transferase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,glutathione transferase,"Sigma-Aldrich, G6511",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
118,glutathione transferase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,glutathione transferase,"Sigma-Aldrich, G6511",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
119,horseradish peroxidase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,horseradish peroxidase,"Sigma-Aldrich, 77332",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
120,horseradish peroxidase,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,horseradish peroxidase,"Sigma-Aldrich, 77332",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
121,hemoglobin,Proteins/Hemeproteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,hemoglobin,"Sigma-Aldrich, 8449",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
122,hemoglobin,Proteins/Hemeproteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,hemoglobin,"Sigma-Aldrich, 8449",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
123,lectin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,lectin,"Sigma-Aldrich, L9267",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
124,lectin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,lectin,"Sigma-Aldrich, L9267",Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
125,lectin,Proteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,lectin,"Sigma-Aldrich, L9267",Not specified,"Proteins were put inside metallic rings. Spectra were recorded on multiple spots on the
sample,  spectra with high signal-to-noise ratio were
chosen.",Metal rings,Fourier Transform,MultiRAM FT-Raman spectrometer,Not specified,1064.0,350- 500 mW,Accumulations from 265 to 4096 scans,50 - 4000 cm-1,4 cm-1,Not specified,Germanium detector,,,,,,,,
126,myoglobin,Proteins/Hemeproteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,myoglobin,From their collaborators,Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",488.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
127,myoglobin,Proteins/Hemeproteins,2025-05-15,mteranm@uoc.edu,digitized,https://doi.org/10.1002/jrs.4335,"Digitization with a custom-developed Python script, using opencv library",Prominence threshold,Linear,Truncating within 450-1800 cm-1 range intersection. Savitsky-Golay filter. Baseline removal with airPLS algorithm. Min-max normnalization,myoglobin,From their collaborators,Not specified,Proteins were deposited on a substrate made of glass,Glass microscope slide,Spontaneous,"WITec
confocal CRM alpha 300 Raman microscope (at Jagiellonian
Center for Experimental Therapeutics, Krakow). , Air-cooled solid state laser. CCD detector cooled to -82 ºC","Delivery; single mode optical fiber with a diameter
of 50 mm. A dry Olympus MPLAN (100x/0.90NA) objective was
used. Collection: The scattered radiation was focused onto a multi-mode
fiber (50 µm diameter) and monochromator.",532.0, 10 - 44mW,120 or more average scans with integration times of 0.3 to 0.5 s,Not specified,3 cm-1,Not specified,CCD ,Wavenumber calibration using a silicon plate (520.7 cm-1),,,,,,,
